stg,sys,system,series,stage,short,bottom,mid,top,dur,systemCol,seriesCol,col,t2d,t2u,t3,tPart,tGFd,tGFu,tSing,tOri,tExt,tThrough,divSIB,divCSIB,divRT,divBC,extProp,oriProp,extPC,oriPC,ext3t,ori3t,extC3t,oriC3t,extGF,oriGF,E2f3,O2f3,ext2f3,ori2f3,samp3t,sampRange,diet,mass_extinction,food_mass_extinction,me_no_perm
90,Ng,Neogene,Miocene,Lower Miocene,Lmi,23.04,19.515,15.99,7.05,#fede1a,#ffed02,#fff14a,326,546,274,69,106,42,102,195,70,864,862,852.188022020667,1231,934,0.139723801787165,0.241267262388302,0.077903669424787,0.203507576797351,0.173769274978637,0.689490869356835,-0.0425215818735318,0.307399112433979,0.0256424306133377,0.314599380064264,0,0.263414634146341,0,0.305730142323484,0.798833819241982,0.572916666666667,Carnivore,FALSE,FALSE,FALSE
91,Ng,Neogene,Miocene,Middle Miocene,Mmi,15.99,13.81,11.63,4.36,#fede1a,#ffed02,#fef26b,546,584,410,99,50,84,132,139,136,923,996,976.512634315763,1330,1059,0.201503759398496,0.203759398496241,0.137451111098554,0.140279967299032,0.286461816046552,0.353743823129874,0.0544293173150958,0.129141482352004,0.0840559177980471,0.200345386415691,0.0775193798449612,0.0980966325036603,0.0806889112501427,0.10324789603727,0.805500982318271,0.638136511375948,Carnivore,FALSE,FALSE,FALSE
92,Ng,Neogene,Miocene,Upper Miocene,Umi,11.63,8.48,5.33,6.3,#fede1a,#ffed02,#fef488,584,672,448,117,97,51,128,146,181,881,1052,1047.7816209305,1336,1062,0.231287425149701,0.205089820359281,0.186851575865705,0.153339583992379,0.265107750413242,0.405465108108164,0.127102077393798,0.189174251255995,0.12926092350107,0.175500764908866,0.0599144079885877,0.119138149556401,0.0617843525320828,0.126854475281082,0.792920353982301,0.677639046538025,Carnivore,FALSE,FALSE,FALSE
93,Ng,Neogene,Pliocene,Pliocene,Pli,5.33,3.96,2.59,2.74,#fede1a,#fff7b2,#fff7b2,672,632,446,66,74,14,137,95,336,691,1122,1017.21454577693,1259,1027,0.375694996028594,0.184273232724384,0.396257386160888,0.128816968661537,0.409939388503085,0.348570442126793,0.235136664123158,0.116537943395338,0.338642611862763,0.17489931318536,0.211382113821138,0.138968481375358,0.237473376869035,0.149624168227165,0.87109375,0.801736613603473,Carnivore,FALSE,FALSE,FALSE
94,,Quarternary,Pleistocene,Pleistocene,Ple,2.59,1.30085,0.0117,2.5783,#fff69b,#fff2c5,#fff2c5,632,101,89,17,10,NA,122,5,659,127,882,829.600578758251,913,786,0.855421686746988,0.139101861993428,1.82276970597062,0.0386148361277795,1.96025302441472,0.12648414710912,NA,-0.011521525910324,NA,0.0170944333593,NA,0,NA,0,0.839622641509434,0.755905511811024,Carnivore,FALSE,FALSE,FALSE
95,,Quarternary,Holocene,Holocene,Hol,0.0117,0.00585,0,0.0117,#fff69b,#fff5eb,#fff5eb,101,NA,NA,NA,NA,NA,27,NA,132,NA,159,NA,159,132,1,0.169811320754717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnivore,FALSE,FALSE,FALSE
1,E,Ediacaran,Upper Ediacaran,Avalon Assemblage,Ava,580,570,560,20,#fddd88,#fddd88,#fcd589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non-Carnivore,FALSE,FALSE,FALSE
2,E,Ediacaran,Upper Ediacaran,White Sea Assemblage,Whs,560,555,550,10,#fddd88,#fddd88,#fdd587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non-Carnivore,FALSE,FALSE,FALSE
3,E,Ediacaran,Upper Ediacaran,Nama Assemblage,Nam,550,544.4,538.8,11.2,#fddd88,#fddd88,#fed583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non-Carnivore,FALSE,FALSE,FALSE
4,Cm,Cambrian,Terreneuvian,Fortunian,For,538.8,533.9,529,9.8,#94ac72,#9db989,#a9be93,NA,87,NA,NA,NA,NA,51,103,NA,NA,154,NA,154,NA,0.331168831168831,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non-Carnivore,FALSE,FALSE,FALSE
