stg,sys,system,series,stage,short,bottom,mid,top,dur,systemCol,seriesCol,col,t2d,t2u,t3,tPart,tGFd,tGFu,tSing,tOri,tExt,tThrough,divSIB,divCSIB,divRT,divBC,extProp,oriProp,extPC,oriPC,ext3t,ori3t,extC3t,oriC3t,extGF,oriGF,E2f3,O2f3,ext2f3,ori2f3,samp3t,sampRange,diet,mass_extinction,food_mass_extinction
26,S,Silurian,Ludlow,Gorstian,Gor,426.74,425.875,425.01,1.73,#bfe0cd,#cce7e2,#d6ecea,290,340,216,64,96,44,35,88,75,973,587,599.017497868583,1171,1048,0.0939368061485909,0.105038428693424,0.0742547826949824,0.0865830564279781,0.294602515296355,0.453667209926042,0.0147989304166535,0.10258728811468,0.088553397341445,0.0718257345712556,0.0536723163841808,0.0693069306930693,0.055166381308708,0.0718257345712556,0.771428571428571,0.399794450154162,Both,FALSE,FALSE
27,S,Silurian,Ludlow,Ludfordian,Lud,425.01,423.87,422.73,2.28,#bfe0cd,#cce7e2,#e2f1ec,340,330,223,72,53,55,52,78,105,956,630,656.077025151976,1191,1061,0.131821998320739,0.109151973131822,0.104209225562582,0.0784321420169732,0.421773846150088,0.391920883000407,0.131724908688041,0.132409687515323,0.163090194866067,0.144249608844547,0.12621359223301,0.0646766169154229,0.134919317899371,0.0668629452291267,0.75593220338983,0.413179916317992,Both,FALSE,FALSE
28,S,Silurian,Pridoli,Pridoli,Pri,422.73,420.865,419,3.73,#bfe0cd,#ebf5ec,#ebf5ec,330,345,211,71,62,39,80,87,132,902,663,697.553157195206,1201,1034,0.176519567027477,0.139050791007494,0.136575535005751,0.0920798115600885,0.447234520984459,0.491686283555293,0.253915209980963,0.211882698675592,0.222520304176553,0.190043602887865,0.182044887780549,0.134615384615385,0.200947818922426,0.144581228811107,0.74822695035461,0.403547671840355,Both,FALSE,FALSE
29,D,Devonian,Lower Devonian,Lochkovian,Loc,419,415.7,412.4,6.6,#d49f51,#e9ba6a,#eac378,345,471,211,45,64,68,173,272,136,853,985,940.786047293857,1434,989,0.215481171548117,0.310320781032078,0.147934784131033,0.276778767146841,0.491686283555293,0.802999960540351,0.156936700245527,0.512951023078304,0.185403223331363,0.477785769687791,0.169230769230769,0.368217054263566,0.185403223331363,0.459209384114855,0.82421875,0.473622508792497,Both,FALSE,FALSE
30,D,Devonian,Lower Devonian,Pragian,Pra,412.4,411.455,410.51,1.89,#d49f51,#e9ba6a,#ebcd87,471,578,332,132,45,46,166,266,145,980,1035,1138.72111552997,1557,1125,0.199743095696853,0.277456647398844,0.137985742973903,0.240141127682781,0.349723125099929,0.554438899755889,0.159966589818457,0.361119588752393,0.167506471008814,0.332816953484838,0.066334991708126,0.192957746478873,0.0686375685874952,0.214379253320621,0.71551724137931,0.46734693877551,Both,FALSE,FALSE
31,D,Devonian,Lower Devonian,Emsian,Ems,410.51,402.405,394.3,16.21,#d49f51,#e9ba6a,#edd595,578,646,335,70,79,82,378,337,268,978,1519,1445.65651362086,1961,1246,0.329423763386028,0.36460989291178,0.242184029312581,0.296082274577047,0.545443336847311,0.656668971957535,0.231500213286126,0.321919388647769,0.285626573269685,0.391595260244014,0.248456790123457,0.290502793296089,0.285626573269685,0.343198719382164,0.827160493827161,0.548057259713701,Both,FALSE,FALSE
32,D,Devonian,Middle Devonian,Eifelian,Eif,394.3,389.8,385.3,9,#d49f51,#f4ce85,#f5da93,646,622,404,149,76,35,136,194,266,1049,1116,1202.55538686079,1645,1315,0.244376899696049,0.200607902735562,0.225999336215568,0.169690483114414,0.469384625821452,0.431525214778029,0.351601590165068,0.241768679496557,0.301615166755705,0.203557116862889,0.154716981132075,0.0972762645914397,0.168083774131182,0.10233871322891,0.730560578661845,0.495710200190658,Both,FALSE,FALSE
33,D,Devonian,Middle Devonian,Givetian,Giv,385.3,382.1,378.9,6.4,#d49f51,#f4ce85,#f5e2a0,622,472,288,36,65,50,322,195,403,840,1408,1246.9593744874,1760,1243,0.411931818181818,0.29375,0.391881199673352,0.20875481386211,0.769979612603234,0.494018505449609,0.469528939512653,0.180075381888425,0.564949133910785,0.266902103960036,0.417933130699088,0.232283464566929,0.541169942144671,0.26433470845479,0.888888888888889,0.580952380952381,Both,FALSE,FALSE
34,D,Devonian,Upper Devonian,Frasnian,Fra,378.9,375,371.1,7.8,#d49f51,#f5e4b6,#f4edc3,472,317,214,75,27,69,225,102,248,787,883,938.732600235165,1362,1035,0.347283406754772,0.240088105726872,0.273928457282066,0.121868987096501,0.791002970563704,0.392925758855429,0.537807074183092,0.275142723199046,0.423915816021281,0.21551962620355,0.345521023765996,0.130102040816327,0.423915816021281,0.139379362506946,0.740484429065744,0.39135959339263,Both,FALSE,FALSE
35,D,Devonian,Upper Devonian,Famennian,Fam,371.1,365.2,359.3,11.8,#d49f51,#f5e4b6,#f4f0d5,317,286,118,34,77,41,332,170,227,662,954,967.402226586139,1391,889,0.401869158878505,0.360891445003595,0.294831679576896,0.2285668848842,0.988217149411616,0.885307186354188,0.728705953926531,0.584856513263607,0.59809603456098,0.334598992239533,0.45014245014245,0.284375,0.59809603456098,0.334598992239533,0.776315789473684,0.33987915407855,Both,TRUE,TRUE
